Player,Team,Pos,Injury,Status,Value,Injury Weight
Chudi Dioramma,Arkansas State,F,Ankle,Out,Rotational Depth,0.02
David Douglas,Fresno State,G,Knee,Game Time Decision,Impact Role Player,0.035
Danilo Dozic,Pepperdine,C,Undisclosed,Game Time Decision,Rotational Depth,0.01
Jason Drake,Indiana,G,Toe,Out,Rotational Depth,0.02
Reid Ducharme,Siena,F,Shoulder,Out,Rotational Depth,0.02
B.J. Edwards,SMU,G,Ankle,Out,Impact Role Player,0.07
Jason Edwards,Providence,G,Foot,Game Time Decision,Key Starter/Star,0.075
Sean Elkinton,Louisiana-Lafayette,F,Foot,Out For Season,Key Starter/Star,0
Mason Ellison,Delaware,G,Thumb,Out,Rotational Depth,0.02
Godswill Erheriene,Seton Hall,C,Knee,Game Time Decision,Rotational Depth,0.01
Ilia Ermakov,St. Bonaventure,G,Ankle,Out,Rotational Depth,0.02
Connor Essegian,Nebraska,G,Ankle,Out For Season,Impact Role Player,0
Baye Fall,Rutgers,C,Hand,Out,Rotational Depth,0.02
Parsa Fallah,Oklahoma State,F,Knee,Out For Season,Impact Role Player,0
Babacar Faye,Utah,F,Leg,Out For Season,Impact Role Player,0
Jahseem Felton,Seton Hall,G,Knee,Out For Season,Impact Role Player,0
Christian Fermin,VCU,F,Personal,Out,Rotational Depth,0.02
Jason Fontenet,Cal-Santa Barbara,G,Hip,Out,Impact Role Player,0.07
Jaxson Ford,Sam Houston,F,Undisclosed,Out For Season,Rotational Depth,0
Dominique Ford,San Diego,G,Undisclosed,Game Time Decision,Key Starter/Star,0.075
Zac Foster,Clemson,G,Knee,Out For Season,Impact Role Player,0
Austin Foxwell,Portland,G,Not Injury Related,Out For Season,Rotational Depth,0
Owen Foxwell,Louisiana State,G,Not Injury Related,Out For Season,Rotational Depth,0
Major Freeman,UNC-Charlotte,G,Undisclosed,Out,Impact Role Player,0.07
Daniel Freitag,Buffalo,G,Undisclosed,Out,Impact Role Player,0.07
Timo George,Portland,F,Shoulder,Out For Season,Rotational Depth,0
Gvidas Gicevicius,Florida International,F,Undisclosed,Out For Season,Rotational Depth,0
Kaleb Glenn,Michigan State,F,Knee,Out For Season,Impact Role Player,0
David Gomez,UNC-Charlotte,F,Undisclosed,Out,Impact Role Player,0.07
Kristian Gonzalez,Idaho,G,Undisclosed,Out,Rotational Depth,0.02
Jaden Goodall,San Jose State,F,Undisclosed,Out,Rotational Depth,0.02
Pasha Goodarzi,San Jose State,G,Undisclosed,Out,Rotational Depth,0.02
Tasman Goodrick,Siena,F,Knee,Out For Season,Rotational Depth,0
D'Arrae Goodwin,San Diego,F,Undisclosed,Game Time Decision,Rotational Depth,0.01
King Grace,Mississippi State,G,Foot,Game Time Decision,Impact Role Player,0.035
De'Ante Green,South Florida,F,Achilles,Out For Season,Impact Role Player,0
Zyair Greene,Indiana State,G,Undisclosed,Game Time Decision,Rotational Depth,0.01
Reggie Grodin,Penn State,G,Redshirt,Out For Season,Rotational Depth,0
Josue Grullon,La Salle,G,Undisclosed,Game Time Decision,Impact Role Player,0.035
Donald Hand,Boston College,G,Knee,Game Time Decision,Impact Role Player,0.035
JaVaughn Hannah,San Jose State,G,Calf,Out,Impact Role Player,0.07
Amani Hansberry,Virginia Tech,F,Undisclosed,Game Time Decision,Impact Role Player,0.035
Ashton Hardaway,Memphis,F,Calf,Out,Rotational Depth,0.02
Jaylen Harrell,Providence,G,Knee,Game Time Decision,Rotational Depth,0.01
Elzie Harrington,San Diego State,G,Lower Leg,Out,Impact Role Player,0.07
Jared Harris,Wyoming,G,Toe,Out,Impact Role Player,0.07
Dominick Harris,Loyola-Chicago,G,Undisclosed,Out,Key Starter/Star,0.15
